,time,open,high,low,close,volume,vc
122,2020-05-05T11:57:00.000Z,8865.4,8865.4,8855.9,8856.6,153,1.53
123,2020-05-05T11:56:00.000Z,8862,8867.4,8853.9,8867.4,650,6.5
124,2020-05-05T11:55:00.000Z,8866.5,8866.5,8862.4,8863.9,309,3.09
125,2020-05-05T11:54:00.000Z,8872.4,8873.1,8866.6,8866.6,197,1.97
126,2020-05-05T11:53:00.000Z,8873.9,8873.9,8872.5,8872.8,283,2.83
127,2020-05-05T11:52:00.000Z,8874,8875.5,8870.8,8873.6,411,4.11
128,2020-05-05T11:51:00.000Z,8879.1,8881.7,8867.9,8873,1044,10.44
129,2020-05-05T11:50:00.000Z,8878,8879.6,8878,8878.8,329,3.29
130,2020-05-05T11:49:00.000Z,8877.2,8879.5,8877.2,8879.5,222,2.22
131,2020-05-05T11:48:00.000Z,8878,8879.2,8878,8878.2,64,0.64
132,2020-05-05T11:47:00.000Z,8874.9,8877.2,8874.9,8877,61,0.61
133,2020-05-05T11:46:00.000Z,8868,8875.7,8865.5,8875,249,2.49
134,2020-05-05T11:45:00.000Z,8869.1,8871,8869.1,8869.9,206,2.06
135,2020-05-05T11:44:00.000Z,8863.4,8869.7,8862.5,8869.1,311,3.11
136,2020-05-05T11:43:00.000Z,8854.3,8864.5,8854.3,8864.5,191,1.91
137,2020-05-05T11:42:00.000Z,8856.1,8856.1,8853,8853.8,246,2.46
138,2020-05-05T11:41:00.000Z,8856,8859.9,8856,8856.1,801,8.01
139,2020-05-05T11:40:00.000Z,8859.8,8859.8,8853.6,8854.7,220,2.2
140,2020-05-05T11:39:00.000Z,8870,8870,8854.5,8860.3,1117,11.17
141,2020-05-05T11:38:00.000Z,8870,8872.8,8870,8871.6,41,0.41
142,2020-05-05T11:37:00.000Z,8869.2,8869.2,8865,8868.6,569,5.69
143,2020-05-05T11:36:00.000Z,8870,8871.3,8868.6,8868.8,114,1.14
144,2020-05-05T11:35:00.000Z,8878,8878,8867.4,8868.8,302,3.02
145,2020-05-05T11:34:00.000Z,8881.2,8881.2,8879.2,8880.6,137,1.37
146,2020-05-05T11:33:00.000Z,8886,8886,8878.8,8878.8,175,1.75
147,2020-05-05T11:32:00.000Z,8880.6,8886.7,8880.6,8884.5,486,4.86
148,2020-05-05T11:31:00.000Z,8884.9,8884.9,8881.4,8881.4,195,1.95
149,2020-05-05T11:30:00.000Z,8887.8,8887.8,8879.3,8884.5,1137,11.37
150,2020-05-05T11:29:00.000Z,8883.8,8887.1,8883.8,8886.6,220,2.2
151,2020-05-05T11:28:00.000Z,8883.6,8885.1,8883.2,8884.5,85,0.85
152,2020-05-05T11:27:00.000Z,8883.4,8886.5,8882.4,8884.6,381,3.81
153,2020-05-05T11:26:00.000Z,8876,8885.1,8876,8885.1,392,3.92
154,2020-05-05T11:25:00.000Z,8871.3,8875.8,8869.2,8875.3,268,2.68
155,2020-05-05T11:24:00.000Z,8875.4,8875.4,8868.3,8871.4,553,5.53
156,2020-05-05T11:23:00.000Z,8875.7,8875.7,8874,8874.6,395,3.95
157,2020-05-05T11:22:00.000Z,8872.1,8875.5,8872.1,8874.9,803,8.03
158,2020-05-05T11:21:00.000Z,8883.3,8886,8871.1,8871.1,1311,13.11
159,2020-05-05T11:20:00.000Z,8886,8886,8882.4,8882.8,223,2.23
160,2020-05-05T11:19:00.000Z,8890.4,8891,8886.7,8886.7,586,5.86
161,2020-05-05T11:18:00.000Z,8889.2,8891.5,8886.1,8891.5,104,1.04
162,2020-05-05T11:17:00.000Z,8884.1,8894.4,8884,8888.3,1082,10.82
163,2020-05-05T11:16:00.000Z,8871.8,8891.2,8871.8,8883.3,1422,14.22
164,2020-05-05T11:15:00.000Z,8866.7,8870.7,8866.7,8870.5,172,1.72
